id,lat,lon,name,street,postcode,brand
647402078,51.5146604,-0.1665827,Stuzzico...,Kendal Street,W2 2AW,
647875599,51.5208569,-0.1164931,Caffè Nero,Theobalds Road,WC1X 8NW,Caffè Nero
648517568,51.5261237,-0.0781397,Prufrock Coffee,Shoreditch High Street,E1 6JE,
652850246,51.5278179,-0.0226269,Mighty Bite,Bow Road,E3 2AN,
653124873,51.5087508,-0.1254965,Social Bite,Strand,WC2R 0QU,
653142618,51.5013164,-0.07786,The Cat & Cucumber,Tower Bridge Road,SE1 2AD,
653984957,51.5633341,-0.072633,Snacks 'n' things,Northwold Road,N16 7HL,
653984958,51.5632082,-0.072287,Warbler Cafe,Northwold Road,N16 7HL,
655166613,51.48997,-0.096525,Cafe Amore,Walworth Road,SE17 1RW,
655168554,51.4928238,-0.1000252,Builders Cafe,,,
656506624,51.5812249,-0.1216394,Miranda,Broadway Parade,N8 9DB,
658951691,51.5511864,-0.0751684,Unknown,,,
658951698,51.5514789,-0.075097,Espresso & Shakes,,,
660897077,51.558947,-0.0744578,Bodrum Cafe Bar,,,
660899255,51.5606514,-0.0740564,Costa,Stoke Newington High Street,N16 0PJ,Costa
660899260,51.5608315,-0.0740418,Joseph's cafe & restaurant,Stoke Newington High Street,N16 0NY,
661038345,51.500624,-0.116915,Espressamente,,,
661152752,51.5084346,-0.1321275,The Borough Barista,Charles II Street,SW1Y 4QU,
661170332,51.5787074,-0.124036,Harris + Hoole,,,Harris + Hoole
662184774,51.5066813,-0.0740464,Unknown,St. Katharine's Way,E1W 1LD,
664966075,51.5195479,-0.135626,Blank Street Coffee,Charlotte Street,,Blank Street Coffee
666475916,51.5138693,-0.0935309,Cafe Below,Cheapside,EC2V 6AU,
666479569,51.6469539,-0.1344589,Lizzie's Cucina,,,
666749188,51.5115013,-0.0751203,Starbucks,Minories,EC3N 1JJ,Starbucks
667454570,51.510474,-0.074603,Oasis,Minories,EC3N 1JL,
668820569,51.511976,-0.079927,Caffè Nero,London Street,EC3R 7JP,Caffè Nero
669891136,51.5294047,-0.1296186,Pinner Cafe,Chalton Street,NW1 1JB,
671776303,51.4919041,0.1594898,Unknown,,,
672713708,51.5150998,-0.0685281,Fresh,Commercial Road,E1 1LD,
675734371,51.5117445,-0.0774102,Caffeina,Lloyd's Avenue,EC3N 3AE,
675800454,51.5060928,-0.1359706,St James Caffe,Pall Mall,SW1Y 5JG,
675866067,51.5084676,-0.136869,Redemption Roasters,Jermyn Street,SW1Y 6DT,Redemption Roasters
676754489,51.4003252,0.0453016,Delish,Southborough Road,BR1 2EB,
678240182,51.4773102,-0.286063,GAIL's,Station Parade,TW9 3PT,GAIL's Bakery
679658286,51.494997,-0.084128,Presto Cafe,,,
679658528,51.495478,-0.083377,Royal Delight,,,
679658661,51.495661,-0.083087,Leone,Tower Bridge Road,,
681200105,51.5282488,-0.1336117,Panopolis,Eversholt Street,NW1 2HS,
689097130,51.5084656,-0.0792217,Starbucks,Tower Place,EC3R 5BT,Starbucks
